NAME,AST,BLK,BLKA,FGA,FGM,FG%,FD,OF,PF,TF,FTA,FTM,FT%,-,mins,minsCalc,+,+/-,PTS,FBP,PIP,SCP,DR,OR,TR,STL,FG3A,FG3M,FG3%,TO,FG2A,FG2M,FG2%
D. Green,4,1,1,9,6,0.666666666666666,0,2,3,0,1,0,0.0,86.0,PT38M32.91S,PT39M,99.0,13.0,18,3,0,3,2,3,5,1,7,6,0.857142857142857,2,2,0,0.0
T. Harris,1,0,0,8,3,0.375,0,0,2,0,0,0,0.0,89.0,PT38M01.00S,PT38M,94.0,5.0,8,0,2,0,7,0,7,2,5,2,0.4,3,3,1,0.333333333333333
J. Embiid,2,1,0,22,10,0.45454545454545503,1,9,2,0,12,10,0.833333333333334,86.0,PT37M20.00S,PT37M,94.0,8.0,30,0,16,0,10,0,10,1,4,0,0.0,5,18,10,0.555555555555556
T. Maxey,4,1,1,11,7,0.636363636363636,0,3,2,0,5,4,0.8,93.0,PT36M43.00S,PT37M,90.0,-3.0,22,0,6,0,3,0,3,2,5,4,0.8,2,6,3,0.5
J. Harden,15,0,2,12,3,0.25,1,2,1,0,6,6,1.0,90.0,PT39M27.00S,PT39M,97.0,7.0,13,0,4,0,4,0,4,0,4,1,0.25,3,8,2,0.25
S. Milton,0,0,0,4,3,0.75,0,0,1,0,0,0,0.0,54.0,PT17M59.00S,PT18M,37.0,-17.0,9,0,0,0,0,0,0,0,4,3,0.75,0,0,0,0.0
G. Niang,0,0,0,7,3,0.428571428571429,0,0,2,0,0,0,0.0,53.0,PT18M58.05S,PT19M,33.0,-20.0,9,0,0,0,1,0,1,0,7,3,0.428571428571429,0,0,0,0.0
F. Korkmaz,0,0,0,0,0,0.0,0,0,2,0,0,0,0.0,11.0,PT02M15.00S,PT02M,6.0,-5.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
P. Reed,0,0,0,2,2,1.0,0,1,3,0,1,1,1.0,33.0,PT10M44.04S,PT11M,20.0,-13.0,5,0,4,5,4,3,7,1,0,0,0.0,1,2,2,1.0
C. Brown Jr.,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
I. Joe,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
D. Jordan,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
P. Millsap,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
C. Bassey,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
M. Powell,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
J. Springer,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
M. Thybulle,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,PT00M00.00S,PT00M,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
